06/01/2026,-89.69,ALDI MORLEY
04/01/2026,-19.71,THE COFFEE CLUB PERTH
04/01/2026,-75.07,FARMER JACKS SUBIACO
02/01/2026,-58.37,DOME CAFE COTTESLOE
02/01/2026,24.04,INTEREST PAYMENT
29/12/2025,-89.31,AMPOL CLAREMONT
27/12/2025,-11.83,STEAM PURCHASE SYDNEY
27/12/2025,-45.49,MCDONALD'S FREMANTLE
26/12/2025,-31.58,MCDONALD'S NORTHBRIDGE
26/12/2025,-124.69,AMAZON SYDNEY
24/12/2025,-12.38,TERRY WHITE CHEMMART SUBIACO
24/12/2025,-122.57,EBAY SYDNEY
23/12/2025,-38.35,THE COFFEE CLUB PERTH
22/12/2025,-60.87,FARMER JACKS WEMBLEY
21/12/2025,-80.37,EBAY SYDNEY
20/12/2025,-94.82,IGA LEEDERVILLE
18/12/2025,-129.68,EBAY SYDNEY
18/12/2025,-77.07,AMPOL WEST PERTH
12/12/2025,-94.15,CALTEX PERTH
11/12/2025,-83.47,AMPOL CLAREMONT
10/12/2025,-84.19,AMPOL CLAREMONT
07/12/2025,-33.38,THE COFFEE CLUB PERTH
07/12/2025,-28.67,SUBWAY NORTHBRIDGE
07/12/2025,-58.25,ALIEXPRESS NORTH SYDNEY
05/12/2025,-72.10,ALDI CANNINGTON
05/12/2025,-17.34,THE COFFEE CLUB PERTH
05/12/2025,-11.29,APPLE.COM/BILL SYDNEY
04/12/2025,-109.61,AMAZON SYDNEY
03/12/2025,-116.52,WOOLWORTHS PERTH
30/11/2025,-58.14,CALTEX PERTH
28/11/2025,-34.84,NANDO'S PERTH
27/11/2025,-17.22,THE COFFEE CLUB PERTH
27/11/2025,3041.58,SALARY EMPLOYER PTY LTD
24/11/2025,-126.37,EBAY SYDNEY
24/11/2025,-91.97,ALDI CANNINGTON
22/11/2025,-9.33,MCDONALD'S PERTH
22/11/2025,385.42,TAX REFUND ATO
21/11/2025,-75.46,ALDI PERTH
21/11/2025,-51.56,IGA LEEDERVILLE
21/11/2025,344.13,TAX REFUND ATO
18/11/2025,-30.93,SUBWAY PERTH
17/11/2025,-57.15,KMART CAROUSEL
17/11/2025,-132.60,ALDI MIDLAND
13/11/2025,-105.63,ALIEXPRESS NORTH SYDNEY
12/11/2025,-76.31,UBER SYDNEY
12/11/2025,-43.44,TERRY WHITE CHEMMART CLAREMONT
10/11/2025,-49.73,CHEMIST WAREHOUSE SUBIACO
10/11/2025,-70.52,SHELL PERTH
09/11/2025,26.18,INTEREST PAYMENT
08/11/2025,-45.24,BP SUBIACO
04/11/2025,-15.27,GUZMAN Y GOMEZ PERTH
03/11/2025,-13.01,THE COFFEE CLUB GARDEN CITY
01/11/2025,-177.36,IINET LTD SYDNEY
01/11/2025,-180.50,WATER CORPORATION PERTH
01/11/2025,2859.85,SALARY EMPLOYER PTY LTD
30/10/2025,-11.62,STEAM PURCHASE SYDNEY
29/10/2025,2925.81,SALARY EMPLOYER PTY LTD
25/10/2025,-47.10,TARGET PERTH
25/10/2025,-142.18,EBAY SYDNEY
24/10/2025,-84.51,COLES NEDLANDS
24/10/2025,-76.23,WOOLWORTHS PERTH
24/10/2025,-78.80,AMPOL CLAREMONT
24/10/2025,-41.73,TARGET PERTH
23/10/2025,24.07,REFUND
22/10/2025,-74.41,FARMER JACKS SUBIACO
22/10/2025,-12.46,NANDO'S ROCKINGHAM
21/10/2025,-54.10,CALTEX VICTORIA PARK
20/10/2025,-12.62,STEAM PURCHASE SYDNEY
20/10/2025,-18.44,CHEMIST WAREHOUSE FREMANTLE
18/10/2025,-39.11,HUNGRY JACK'S PERTH
17/10/2025,-74.23,ALDI MIDLAND
17/10/2025,-60.63,SUBWAY PERTH
17/10/2025,-58.46,HUNGRY JACK'S PERTH
16/10/2025,42.97,INTEREST PAYMENT
