date,amount,description,transaction_type,source,category
2024-11-01,-6.3,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2024-11-01,-99.99,GOOGLE STRAVA RUN BIK     PYRMONT,expense,ANZ,Uncategorized
2024-11-01,-14.8,GUZMAN Y GOMEZ            SURRY HILLS,expense,ANZ,Dining Out
2024-11-04,-300.0,RENT,expense,Bankwest,Housing
2024-11-04,-74.99,IINET LTD N               SYDNEY,expense,ANZ,Utilities
2024-11-04,-252.0,ADIDAS AU PTY LTD         MULGRAVE,expense,ANZ,Uncategorized
2024-11-04,-35.7,MCDONALDS ASCOT WATER     BELMONT,expense,ANZ,Dining Out
2024-11-04,-39.02,UNITED PERTH AIRPORT      PERTH AIRPORT,expense,ANZ,Uncategorized
2024-11-06,-12.18,SQ *ULTIMATE FRIED CHICKE PERTH,expense,ANZ,Uncategorized
2024-11-06,-44.4,WEI'S DUMPLING HUT        SUBIACO,expense,ANZ,Dining Out
2024-11-07,-16.5,SQ *SIPRA KEBAB AND GRILL 1800595310,expense,ANZ,Dining Out
2024-11-07,2396.83,SALARY ATO PAYROLL,income,Bankwest,Income
2024-11-08,-12.2,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2024-11-11,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2024-11-11,2250.0,PAYMENT - THANKYOU,income,ANZ,Income
2024-11-11,-35.54,DD *DOORDASH CHICKENRI    MELBOURNE,expense,ANZ,Uncategorized
2024-11-11,-300.0,RENT,expense,Bankwest,Housing
2024-11-11,-2250.0,IB BPAY 888229212 TO ANZ CARDS 4564680414360148 AT 11:16AM 9NOV,expense,Bankwest,Transfer
2024-11-11,-48.31,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-11-11,-160.35,ADIDAS AUSTRALIA          MULGRAVE,expense,ANZ,Uncategorized
2024-11-12,-40.25,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-11-12,-20.5,SUBI FISH N CHIPS         SUBIACO,expense,ANZ,Dining Out
2024-11-13,-31.75,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ,Dining Out
2024-11-14,-6.3,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2024-11-15,-32.31,WEI'S DUMPLING HUT        SUBIACO,expense,ANZ,Dining Out
2024-11-15,-6.6,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2024-11-18,-300.0,RENT,expense,Bankwest,Housing
2024-11-18,-14.8,GUZMAN Y GOMEZ            SURRY HILLS,expense,ANZ,Dining Out
2024-11-18,-6.6,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2024-11-18,-74.67,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-11-18,-28.72,THE SUNMOS TRUST          NORTHBRIDGE,expense,ANZ,Uncategorized
2024-11-19,-16.5,SQ *SIPRA KEBAB AND GRILL 1800595310,expense,ANZ,Dining Out
2024-11-19,15.0,C M ERNEST 12:28PM 19NOV JUICY BAOBAO,income,Bankwest,Income
2024-11-19,-19.08,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-11-20,-71.53,COLES EXPRESS 6913        WEST PERTH,expense,ANZ,Groceries
2024-11-20,-15.9,GUZMAN Y GOMEZ            SURRY HILLS,expense,ANZ,Dining Out
2024-11-21,2396.83,SALARY ATO PAYROLL,income,Bankwest,Income
2024-11-21,-10.8,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2024-11-21,-35.94,JUICY BAOBAO              PERTH,expense,ANZ,Uncategorized
2024-11-21,-16.25,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ,Dining Out
2024-11-25,-300.0,RENT,expense,Bankwest,Housing
2024-11-25,-6.55,T4 NORTHBRIDGE            PERTH,expense,ANZ,Uncategorized
2024-11-25,-5.1,COCACOLAEPP               SOUTH PERTH,expense,ANZ,Uncategorized
2024-11-25,-81.77,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-11-25,-69.93,UME GLOBAL PTY LTD        WEST PERTH,expense,ANZ,Uncategorized
2024-11-25,-7.98,PRESOTEA NORTH BRIDGE     PERTH,expense,ANZ,Dining Out
2024-11-25,-16.5,SQ *SIPRA KEBAB AND GRILL 1800595310,expense,ANZ,Dining Out
2024-11-25,-18.1,WWW.SHANGH* SHANGHAI S    NORTHBRIDGE,expense,ANZ,Uncategorized
2024-11-25,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2024-11-25,-252.0,ADIDAS AUSTRALIA          MULGRAVE,expense,ANZ,Uncategorized
2024-11-27,-61.41,MONSTERA THAI KITCHE      CLOVERDALE,expense,ANZ,Dining Out
2024-11-27,-76.7,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-11-27,-42.4,READING CINEMAS           SOUTH MELBOUR,expense,ANZ,Entertainment
2024-11-29,-6.6,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2024-11-29,-16.5,SQ *SIPRA KEBAB AND GRILL 1800595310,expense,ANZ,Dining Out
2024-12-02,-13.99,SPOTIFY                   SYDNEY,expense,ANZ,Entertainment
2024-12-02,-45.0,THE EXECUTIVES            WEST PERTH,expense,ANZ,Uncategorized
2024-12-02,-43.4,WOOLWORTHS/CAROUSEL S/C 1 CANNINGTON,expense,ANZ,Groceries
2024-12-02,-300.0,RENT,expense,Bankwest,Housing
2024-12-03,13.89,ATO ATO007000020505413,income,Bankwest,Income
2024-12-04,-44.88,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-12-04,-74.99,IINET LTD N               SYDNEY,expense,ANZ,Utilities
2024-12-05,-6.6,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2024-12-05,-24.26,NORTH BIRD WINE           NORTHBRIDGE,expense,ANZ,Uncategorized
2024-12-05,2396.83,SALARY ATO PAYROLL,income,Bankwest,Income
2024-12-06,-50.55,COLES EXPRESS 6913        WEST PERTH,expense,ANZ,Groceries
2024-12-09,-12.33,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-12-09,-59.54,WEI'S DUMPLING HUT        SUBIACO,expense,ANZ,Dining Out
2024-12-09,-17.85,MCDONALDS DT 0442         SOUTH PERTH,expense,ANZ,Dining Out
2024-12-09,-16.5,SQ *SIPRA KEBAB AND GRILL 1800595310,expense,ANZ,Dining Out
2024-12-09,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2024-12-09,-57.13,COLES 0297                DUNSBOROUGH,expense,ANZ,Groceries
2024-12-09,-300.0,RENT,expense,Bankwest,Housing
2024-12-10,-58.27,COLES EXPRESS 2724        BUNBURY,expense,ANZ,Groceries
2024-12-11,-50.01,BP BALDIVIS SB 7374       BALDIVIS,expense,ANZ,Groceries
2024-12-11,-19.5,MCDONALDS VASSE           VASSE,expense,ANZ,Dining Out
2024-12-11,-15.9,GUZMAN Y GOMEZ            SURRY HILLS,expense,ANZ,Dining Out
2024-12-12,-27.32,VARSITY NORTHBRIDGE       NORTHBRIDGE,expense,ANZ,Dining Out
2024-12-12,-47.5,STEAMGAMES.COM 4259522985 912-1844160,expense,ANZ,Uncategorized
2024-12-13,-47.0,HANOZE PARK PTY LTD       PERTH,expense,ANZ,Dining Out
2024-12-13,-10.4,EASYPARK                  PRAHRAN,expense,ANZ,Transport
2024-12-13,-43.24,THE TRUSTEE FOR QINWE     EAST VICTORIA,expense,ANZ,Uncategorized
2024-12-13,2030.0,PAYMENT - THANKYOU,income,ANZ,Income
2024-12-13,-2030.0,IB BPAY 896620912 TO ANZ CARDS 4564680414360148 AT 6:14PM 12DEC,expense,Bankwest,Transfer
2024-12-16,-74.94,DELISIO                   SUBIACO,expense,ANZ,Uncategorized
2024-12-16,-18.1,WWW.SHANGH* SHANGHAI S    NORTHBRIDGE,expense,ANZ,Uncategorized
2024-12-16,-56.0,SQ *ALFRED'S PIZZERIA. SM PERTH,expense,ANZ,Uncategorized
2024-12-16,-16.81,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ,Dining Out
2024-12-16,-12.0,MURRAY MEWS               PERTH,expense,ANZ,Uncategorized
2024-12-16,-21.39,YO CHI VIC PARK           VICTORIA PARK,expense,ANZ,Uncategorized
2024-12-16,-20.0,MURRAY MEWS               PERTH,expense,ANZ,Uncategorized
2024-12-16,-300.0,RENT,expense,Bankwest,Housing
2024-12-16,-10.0,MURRAY MEWS               PERTH,expense,ANZ,Uncategorized
2024-12-16,-2.6,EASYPARK                  PRAHRAN,expense,ANZ,Transport
2024-12-16,-36.4,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-12-17,-60.61,UNITED PERTH AIRPORT      PERTH AIRPORT,expense,ANZ,Uncategorized
2024-12-17,-14.87,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2024-12-18,-10.2,PERTH AIRPORT PTY LTD     PERTH AIRPORT,expense,ANZ,Uncategorized
2024-12-19,-235.89,KANPAI (AUS) P/L          VICTORIA PARK,expense,ANZ,Uncategorized
2024-12-19,-22.0,TO PHONE D THAUNG 05:39PM 19DEC,expense,Bankwest,Dining Out
2024-12-19,2396.83,SALARY ATO PAYROLL,income,Bankwest,Income
2024-12-20,-9.46,EASYPARK                  PRAHRAN,expense,ANZ,Transport
2024-12-23,-300.0,RENT,expense,Bankwest,Housing
2024-12-23,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2024-12-23,-13.22,MCD FWY SOUTH             BALDIVIS,expense,ANZ,Groceries
2024-12-23,-45.14,BP BALDIVIS SB 7374       BALDIVIS,expense,ANZ,Groceries
2024-12-23,-7.36,T4 NORTHBRIDGE            PERTH,expense,ANZ,Uncategorized
2024-12-23,-19.28,LOUDER LOUDER             NORTHBRIDGE,expense,ANZ,Uncategorized
2024-12-24,-22.29,BAILEY BREWING CO. DU     DUNSBOROUGH,expense,ANZ,Uncategorized
2024-12-27,-18.45,KFC AU PINJARRA NORTH     PINJARRA NORT,expense,ANZ,Dining Out
2024-12-27,-19.9,UNIQLO PERTH              PERTH,expense,ANZ,Uncategorized
2024-12-27,-13.16,T4 MYAREE                 MYAREE,expense,ANZ,Uncategorized
2024-12-27,-104.4,KMART 1386                PERTH,expense,ANZ,Retail
2024-12-27,3000.0,PAYMENT - THANKYOU,income,ANZ,Income
2024-12-27,-60.68,COLES EXPRESS 2012        DUNSBOROUGH,expense,ANZ,Groceries
2024-12-27,-68.41,SQ *UNCLE BILLY'S CHINESE NORTHBRIDGE,expense,ANZ,Uncategorized
2024-12-27,-3000.0,IB BPAY 899940837 TO ANZ CARDS 4564680414360148 AT 11:30AM 26DEC,expense,Bankwest,Transfer
2024-12-30,-10.0,LS FOUND. SUBIACO         SUBIACO,expense,ANZ,Uncategorized
2024-12-30,-27.0,TO PHONE L TSHOMO 06:11AM 28DEC BB,expense,Bankwest,Dining Out
2024-12-30,-60.0,TO PHONE L TSHOMO 10:05PM 27DEC YOU MY BABE,expense,Bankwest,Dining Out
2024-12-30,-2228.0,APPLE.COM/AU              SYDNEY,expense,ANZ,Uncategorized
2024-12-30,-40.3,COLES 0270                SUBIACO,expense,ANZ,Groceries
2024-12-30,-60.54,COLES EXPRESS 6913        WEST PERTH,expense,ANZ,Groceries
2024-12-30,-12.0,BOSU SUSHII SUBIACO       SUBIACO,expense,ANZ,Uncategorized
2024-12-30,-31.85,POST WEST PERTH POST S    WEST PERTH,expense,ANZ,Uncategorized
2024-12-30,-13.99,SPOTIFY                   SYDNEY,expense,ANZ,Entertainment
2024-12-30,-28.0,LS FOUND. SUBIACO         SUBIACO,expense,ANZ,Uncategorized
2024-12-30,100.0,IB TRANSFER 900322494 FROM 306-084-0178033 7:11AM 28DEC,income,Bankwest,Income
2024-12-30,-100.0,IB TRANSFER 900322494 TO 306-084-0178025 7:11AM 28DEC,expense,Bankwest,Transfer
2024-12-30,-300.0,RENT,expense,Bankwest,Housing
2024-12-31,-214.26,STEAM PURCHASE            SEATTLE,expense,ANZ,Entertainment
2024-12-31,-12.0,AMPOL BENTLEY             BENTLEY,expense,ANZ,Transport
2025-01-02,-5.68,TEAMORROW                 EAST VICTORIA,expense,ANZ,Uncategorized
2025-01-02,-40.78,CHENLY PTY LTD            EAST VICTORIA,expense,ANZ,Uncategorized
2025-01-02,-27.48,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-01-02,-20.5,SUBI FISH N CHIPS         SUBIACO,expense,ANZ,Dining Out
2025-01-02,2396.83,SALARY ATO PAYROLL,income,Bankwest,Income
2025-01-03,-6.57,HYPERTEA PTY LTD          PERTH,expense,ANZ,Uncategorized
2025-01-03,-28.84,AIRALO                    SINGAPORE,expense,ANZ,Uncategorized
2025-01-03,-502.2,TO EMAIL WISE AUSTRALIA PT 01:41PM 03JAN,expense,Bankwest,Uncategorized
2025-01-03,-50.5,OTR COMO                  COMO,expense,ANZ,Transport
2025-01-06,-74.99,IINET LTD N               SYDNEY,expense,ANZ,Utilities
2025-01-06,-36.32,THE TRUSTEE FOR QINWE     EAST VICTORIA,expense,ANZ,Uncategorized
2025-01-06,-7.45,SOUTH PERTH 7 DAY CH      SOUTH PERTH,expense,ANZ,Uncategorized
2025-01-06,-1.04,EASYPARK                  PRAHRAN,expense,ANZ,Transport
2025-01-06,-60.08,WWW.CHERRY* CHERRY AND    WEST PERTH,expense,ANZ,Uncategorized
2025-01-06,-1770.45,JASMINE GRANDE RESIDENCE  BANGKOK  36228.17  THB 51.57 AUD,expense,ANZ,Uncategorized
2025-01-06,-4500.0,IB BPAY 901981368 TO ANZ CARDS 4564680414360148 AT 2:47PM 4JAN,expense,Bankwest,Transfer
2025-01-06,-300.0,RENT,expense,Bankwest,Housing
2025-01-06,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2025-01-06,-42.1,UBER *TRIP HELP.UBER.COM  SYDNEY,expense,ANZ,Transport
2025-01-06,-4613.45,HT CLINIC                 BANGKOK  95200.00  THB 134.37 AUD,expense,ANZ,Uncategorized
2025-01-06,4500.0,PAYMENT - THANKYOU,income,ANZ,Income
2025-01-07,-409.0,APPLE ONLINE AU           SYDNEY,expense,ANZ,Uncategorized
2025-01-13,-300.0,RENT,expense,Bankwest,Housing
2025-01-16,2396.83,SALARY ATO PAYROLL,income,Bankwest,Income
2025-01-20,-300.0,RENT,expense,Bankwest,Housing
2025-01-20,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2025-01-21,-5.08,WEI'S DUMPLING HUT        SUBIACO,expense,ANZ,Dining Out
2025-01-21,-45.42,WEI'S DUMPLING HUT        SUBIACO,expense,ANZ,Dining Out
2025-01-22,-2500.0,IB BPAY 906059164 TO ANZ CARDS 4564680414360148 AT 10:50AM,expense,Bankwest,Transfer
2025-01-22,-16.8,BENTLEY                   BENTLEY,expense,ANZ,Uncategorized
2025-01-22,2500.0,PAYMENT - THANKYOU,income,ANZ,Income
2025-01-22,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ,Utilities
2025-01-23,-27.71,SPUD SHED                 BENTLEY,expense,ANZ,Uncategorized
2025-01-23,-6.71,SMP*PRESOTEA JAMES ST6B   NORTHBRIDGE,expense,ANZ,Dining Out
2025-01-24,-1250.0,IB BPAY 906634036 TO ANZ CARDS 4564680414360148 AT 9:54AM,expense,Bankwest,Transfer
2025-01-24,1200.0,MR KOK ENG TAN 09:38AM 24JAN LEWIS,income,Bankwest,Income
2025-01-24,-47.09,COLES EXPRESS 6909        E VICTORIA PK,expense,ANZ,Groceries
2025-01-24,1250.0,PAYMENT - THANKYOU,income,ANZ,Income
2025-01-24,-12.18,HISS & SMOKE              PERTH,expense,ANZ,Uncategorized
2025-01-28,-13.42,SMP*PRESOTEA JAMES ST6B   NORTHBRIDGE,expense,ANZ,Dining Out
2025-01-28,2200.0,SELFWEALTH LTD OVW MONEY,income,Bankwest,Income
2025-01-28,170.0,SHOPBACK AUSTRAL AU100016539874,income,Bankwest,Income
2025-01-28,-1250.0,TO PHONE KOK ENG TAN 05:21PM 28JAN,expense,Bankwest,Dining Out
2025-01-28,-300.0,RENT,expense,Bankwest,Housing
2025-01-28,-65.66,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-01-28,-250.45,DEPARTMENT OF TRANSPOR    PERTH,expense,ANZ,Uncategorized
2025-01-28,-34.2,OKAY VIETNAMESE REST      NORTHBRIDGE,expense,ANZ,Uncategorized
2025-01-30,2396.82,SALARY ATO PAYROLL,income,Bankwest,Income
2025-01-30,-13.99,SPOTIFY                   SYDNEY,expense,ANZ,Entertainment
2025-01-31,-57.4,NENE CHICKEN NORTHBR      NORTHBRIDGE,expense,ANZ,Uncategorized
2025-01-31,-32.54,SPUD SHED                 BENTLEY,expense,ANZ,Uncategorized
2025-02-03,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2025-02-03,-74.99,IINET LTD N               SYDNEY,expense,ANZ,Utilities
2025-02-03,-17.78,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-02-03,-59.0,AMPOL SUBIACO             SUBIACO,expense,ANZ,Transport
2025-02-03,-60.57,DELISIO                   SUBIACO,expense,ANZ,Uncategorized
2025-02-03,-300.0,RENT,expense,Bankwest,Housing
2025-02-03,-47.47,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-02-04,-16.5,SQ *SIPRA KEBAB AND GRILL 1800595310,expense,ANZ,Dining Out
2025-02-04,-12.6,SMP*PRESOTEA JAMES ST6B   NORTHBRIDGE,expense,ANZ,Dining Out
2025-02-04,-7.34,EASYPARK                  PRAHRAN,expense,ANZ,Transport
2025-02-05,-39.86,AIRALO                    SINGAPORE,expense,ANZ,Uncategorized
2025-02-05,-45.0,EDWARDOROKEBYFLORIST      SUBIACO,expense,ANZ,Uncategorized
2025-02-05,-84.24,LOUDER LOUDER             NORTHBRIDGE,expense,ANZ,Uncategorized
2025-02-06,-200.0,TO PHONE KOK ENG TAN 06:52PM 06FEB,expense,Bankwest,Dining Out
2025-02-06,-45.25,BLUE SHARK                SUBIACO,expense,ANZ,Uncategorized
2025-02-07,-34.2,OKAY VIETNAMESE REST      NORTHBRIDGE,expense,ANZ,Uncategorized
2025-02-07,-15.5,HUNGRY JACKS              PERTH,expense,ANZ,Dining Out
2025-02-10,-300.0,RENT,expense,Bankwest,Housing
2025-02-11,1250.0,PAYMENT - THANKYOU,income,ANZ,Income
2025-02-11,-26.03,SQ*NAGANODONABERAMENTAKES TOKYO  2 400  JPY 0.76 AUD,expense,ANZ,Uncategorized
2025-02-11,-1250.0,IB BPAY 910847709 TO ANZ CARDS 4564680414360148 AT 3:09PM,expense,Bankwest,Transfer
2025-02-13,2383.47,SALARY ATO PAYROLL,income,Bankwest,Income
2025-02-17,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2025-02-17,-2906.87,TO EMAIL WISE AUSTRALIA PT 09:02PM 14FEB,expense,Bankwest,Uncategorized
2025-02-17,-300.0,RENT,expense,Bankwest,Housing
2025-02-24,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ,Utilities
2025-02-24,-300.0,RENT,expense,Bankwest,Housing
2025-02-27,-17.6,SINGAPORE FOOD STREET     SINGAPORE  14.50  SGD 0.51 AUD,expense,ANZ,Uncategorized
2025-02-27,2376.32,SALARY ATO PAYROLL,income,Bankwest,Income
2025-02-28,-43.17,DIDIMOBILITY              SYDNEY,expense,ANZ,Uncategorized
2025-03-03,-40.0,MARCOS PIZZA              JOONDANNA,expense,ANZ,Dining Out
2025-03-03,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2025-03-03,-7.22,SMP*PRESOTEA JAMES ST6B   NORTHBRIDGE,expense,ANZ,Dining Out
2025-03-03,-13.99,SPOTIFY                   SYDNEY,expense,ANZ,Entertainment
2025-03-03,-15.37,LOCAL FRESH GOURMET       CANNINGTON,expense,ANZ,Uncategorized
2025-03-03,-25.57,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-03-03,-300.0,RENT,expense,Bankwest,Housing
2025-03-03,30.0,ALEXANDER SLAIDI LUNCH,income,Bankwest,Income
2025-03-03,-60.44,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-03-03,-60.7,UME GLOBAL PTY LTD        WEST PERTH,expense,ANZ,Uncategorized
2025-03-05,-74.7,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-03-06,-74.99,IINET LTD N               SYDNEY,expense,ANZ,Utilities
2025-03-06,-36.43,THE TRUSTEE FOR QINWE     EAST VICTORIA,expense,ANZ,Uncategorized
2025-03-06,-71.04,AMPOL SUBIACO             SUBIACO,expense,ANZ,Transport
2025-03-10,-27.32,VARSITY NORTHBRIDGE       NORTHBRIDGE,expense,ANZ,Dining Out
2025-03-10,-54.06,RIOT*                     DUBLIN,expense,ANZ,Uncategorized
2025-03-10,-14.7,SHARETEA PERTH CBD        PERTH,expense,ANZ,Uncategorized
2025-03-10,-300.0,RENT,expense,Bankwest,Housing
2025-03-11,-7.22,SMP*PRESOTEA JAMES ST6B   NORTHBRIDGE,expense,ANZ,Dining Out
2025-03-12,-18.27,LOUDER LOUDER             NORTHBRIDGE,expense,ANZ,Uncategorized
2025-03-12,-38.4,READING CINEMAS           SOUTH MELBOUR,expense,ANZ,Entertainment
2025-03-12,-16.3,MCDONALDS ASCOT WATER     BELMONT,expense,ANZ,Dining Out
2025-03-12,-61.41,MONSTERA THAI KITCHE      CLOVERDALE,expense,ANZ,Dining Out
2025-03-13,-780.0,IB BPAY 918220165 TO ANZ CARDS 4564680414360148 AT 11:44AM,expense,Bankwest,Transfer
2025-03-13,2376.32,SALARY ATO PAYROLL,income,Bankwest,Income
2025-03-13,780.0,PAYMENT - THANKYOU,income,ANZ,Income
2025-03-13,-38.93,UNITED PERTH AIRPORT      PERTH AIRPORT,expense,ANZ,Uncategorized
2025-03-13,-16.5,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ,Dining Out
2025-03-13,-6.3,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2025-03-17,-39.62,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-03-17,-53.29,HBF HEALTH LIMITED        PERTH,expense,ANZ,Insurance
2025-03-17,-46.43,WEI'S DUMPLING HUT        SUBIACO,expense,ANZ,Dining Out
2025-03-17,-19.23,CHENLY PTY LTD            EAST VICTORIA,expense,ANZ,Uncategorized
2025-03-17,-6.3,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2025-03-17,-300.0,RENT,expense,Bankwest,Housing
2025-03-21,-31.88,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ,Groceries
2025-03-21,-2.55,TOYBOX INTERNATIONAL      OSBORNE PARK,expense,ANZ,Uncategorized
2025-03-21,-6.3,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ,Dining Out
2025-03-21,-2.0,GUILD OF UNDERGRADUATE    CRAWLEY,expense,ANZ,Uncategorized
2025-03-24,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ,Utilities
2025-03-24,-8.23,SMP*PRESOTEA JAMES ST6B   NORTHBRIDGE,expense,ANZ,Dining Out
2025-03-24,-123.55,BLIZZARD ENTERTAINMENT    949-9551380,expense,ANZ,Entertainment
